iter	Passed	Remaining
423	1903	2585
424	1907	2580
425	1911	2575
426	1915	2570
427	1918	2564
428	1923	2559
429	1928	2556
430	1937	2557
431	1948	2562
432	1953	2558
433	1958	2554
434	1963	2549
435	1971	2549
436	1975	2544
437	1980	2540
438	1985	2537
439	1992	2535
440	1997	2531
441	2000	2525
442	2004	2520
443	2009	2515
444	2014	2512
445	2019	2508
446	2023	2502
447	2027	2498
448	2031	2492
449	2036	2488
450	2040	2483
451	2050	2485
452	2055	2482
453	2060	2478
454	2065	2474
455	2070	2469
456	2075	2466
457	2081	2463
458	2085	2458
459	2089	2453
460	2095	2450
461	2099	2444
462	2105	2442
463	2111	2438
464	2117	2435
465	2135	2447
466	2140	2443
467	2145	2439
468	2151	2435
469	2155	2430
470	2159	2425
471	2164	2421
472	2168	2416
473	2172	2411
474	2178	2407
475	2182	2402
476	2186	2397
477	2190	2392
478	2195	2387
479	2197	2380
480	2198	2372
481	2200	2364
482	2201	2356
483	2202	2347
484	2203	2339
485	2204	2331
486	2205	2323
487	2207	2315
488	2208	2307
489	2209	2299
490	2210	2291
491	2211	2283
492	2212	2275
493	2213	2267
494	2215	2260
495	2217	2253
496	2219	2246
497	2221	2239
498	2223	2232
499	2224	2224
500	2226	2217
501	2228	2210
502	2229	2202
503	2230	2195
504	2241	2197
505	2245	2191
506	2246	2184
507	2261	2189
508	2287	2206
509	2295	2205
510	2303	2204
511	2308	2200
512	2314	2197
513	2321	2195
514	2328	2192
515	2334	2189
516	2339	2185
517	2369	2204
518	2375	2201
519	2385	2201
520	2396	2203
521	2403	2201
522	2413	2201
523	2419	2197
524	2424	2193
525	2429	2189
526	2434	2185
527	2441	2182
528	2446	2178
529	2450	2172
530	2453	2167
531	2458	2162
532	2463	2158
533	2468	2153
534	2473	2149
535	2477	2144
536	2481	2139
537	2484	2133
538	2488	2128
539	2494	2125
540	2513	2132
541	2517	2127
542	2531	2130
543	2547	2135
544	2554	2132
545	2563	2131
546	2578	2135
547	2589	2135
548	2595	2132
549	2602	2129
550	2607	2124
551	2617	2124
552	2622	2119
553	2626	2114
554	2630	2109
555	2634	2104
556	2640	2099
557	2648	2097
558	2653	2093
559	2657	2087
560	2666	2086
561	2670	2081
562	2677	2078
563	2683	2074
564	2693	2073
565	2698	2069
566	2714	2073
567	2719	2068
568	2724	2063
569	2728	2058
570	2734	2054
571	2739	2049
572	2743	2044
573	2748	2039
574	2753	2035
575	2757	2029
576	2761	2024
577	2765	2019
578	2770	2014
579	2774	2009
580	2778	2003
581	2781	1998
582	2785	1992
583	2788	1986
584	2792	1980
585	2796	1975
586	2800	1970
587	2804	1965
588	2806	1958
589	2808	1951
590	2810	1945
591	2813	1939
592	2815	1932
593	2816	1925
594	2817	1917
595	2818	1910
596	2820	1903
597	2821	1896
598	2822	1889
599	2824	1882
600	2825	1876
601	2827	1869
602	2828	1862
603	2829	1855
604	2830	1848
605	2832	1841
606	2833	1834
607	2834	1827
608	2836	1820
609	2837	1813
610	2838	1807
611	2840	1800
612	2841	1794
613	2843	1787
614	2849	1783
615	2854	1779
616	2860	1775
617	2865	1771
618	2871	1767
619	2875	1762
620	2882	1759
621	2888	1755
622	2903	1757
623	2920	1759
624	2927	1756
625	2932	1752
626	2937	1747
627	2943	1743
628	2948	1739
629	2954	1734
630	2958	1730
631	2963	1725
632	2975	1724
633	2980	1720
634	2985	1716
635	2989	1711
636	2994	1706
637	2998	1701
638	3003	1696
639	3007	1691
640	3013	1687
641	3017	1682
642	3021	1677
643	3026	1672
644	3037	1671
645	3040	1666
646	3045	1661
647	3048	1656
648	3051	1650
649	3055	1645
650	3059	1640
651	3063	1635
652	3066	1629
653	3070	1624
654	3074	1619
655	3077	1613
656	3080	1608
657	3084	1603
658	3087	1597
659	3090	1592
660	3093	1586
661	3097	1581
662	3100	1576
663	3105	1571
664	3109	1566
665	3113	1561
666	3117	1556
667	3122	1552
668	3139	1553
669	3145	1549
670	3150	1544
671	3154	1539
672	3160	1535
673	3165	1531
674	3170	1526
675	3173	1520
676	3176	1515
677	3179	1510
678	3182	1504
679	3185	1498
680	3188	1493
681	3192	1488
682	3195	1483
683	3198	1477
684	3201	1472
685	3204	1466
686	3208	1461
687	3210	1456
688	3213	1450
689	3216	1444
690	3219	1439
691	3222	1434
692	3225	1429
693	3230	1424
694	3233	1419
695	3237	1413
696	3240	1408
697	3242	1403
698	3245	1397
699	3249	1392
700	3252	1387
701	3255	1381
702	3257	1376
703	3261	1371
704	3264	1365
705	3267	1360
706	3270	1355
707	3272	1349
708	3275	1344
709	3279	1339
710	3283	1334
711	3286	1329
712	3290	1324
713	3295	1319
714	3298	1314
715	3301	1309
716	3305	1304
717	3309	1299
718	3317	1296
719	3321	1291
720	3325	1286
721	3329	1281
722	3332	1276
723	3338	1272
724	3341	1267
725	3348	1263
726	3374	1267
727	3377	1261
728	3380	1256
729	3386	1252
730	3390	1247
731	3394	1242
732	3398	1238
733	3402	1232
734	3405	1227
735	3409	1222
736	3415	1218
737	3417	1213
738	3420	1208
739	3423	1202
740	3426	1197
741	3429	1192
742	3432	1187
743	3435	1182
744	3438	1176
745	3440	1171
746	3442	1165
747	3443	1160
748	3445	1154
749	3446	1148
750	3447	1143
751	3448	1137
752	3450	1131
753	3451	1126
754	3453	1120
755	3454	1115
756	3458	1110
757	3460	1104
758	3461	1099
759	3462	1093
760	3463	1087
761	3464	1082
762	3465	1076
763	3466	1070
764	3468	1065
765	3469	1059
766	3474	1055
767	3475	1049
768	3477	1044
769	3478	1039
770	3485	1035
771	3493	1031
772	3504	1029
773	3521	1028
774	3528	1024
775	3532	1019
776	3537	1015
777	3543	1010
778	3553	1007
779	3557	1003
780	3562	998
781	3574	996
782	3586	993
783	3592	989
784	3603	986
785	3609	982
786	3614	978
787	3626	975
788	3633	971
789	3647	969
790	3658	966
791	3665	962
792	3669	957
793	3682	955
794	3685	950
795	3689	945
796	3694	940
797	3698	936
798	3701	931
799	3705	926
800	3709	921
801	3712	916
802	3717	911
803	3720	907
804	3723	901
805	3726	896
806	3729	891
807	3732	886
808	3735	881
809	3738	876
810	3741	871
811	3744	866
812	3747	861
813	3750	856
814	3753	851
815	3755	846
816	3758	841
817	3761	836
818	3764	831
819	3767	826
820	3771	822
821	3774	817
822	3780	812
823	3783	808
824	3787	803
825	3791	798
826	3795	794
827	3799	789
828	3802	784
829	3805	779
830	3808	774
831	3811	769
832	3814	764
833	3816	759
834	3819	754
835	3823	750
836	3826	745
837	3830	740
838	3834	735
839	3838	731
840	3841	726
841	3845	721
842	3852	717
843	3856	712
844	3859	707
845	3865	703
846	3869	699
847	3873	694
848	3876	689
849	3879	684
850	3883	679
851	3886	675
852	3889	670
853	3891	665
854	3894	660
855	3897	655
856	3901	650
857	3904	646
858	3908	641
859	3911	636
860	3915	632
861	3919	627
862	3922	622
863	3925	617
864	3929	613
865	3932	608
866	3934	603
867	3937	598
868	3940	593
869	3944	589
870	3947	584
871	3951	580
872	3954	575
873	3958	570
874	3961	565
875	3963	561
876	3966	556
877	3969	551
878	3972	546
879	3975	542
880	3978	537
881	3980	532
882	3983	527
883	3987	523
884	3990	518
885	3992	513
886	3996	509
887	4007	505
888	4019	501
889	4024	497
890	4027	492
891	4030	488
892	4051	485
893	4054	480
894	4057	476
895	4060	471
896	4062	466
897	4066	461
898	4069	457
899	4071	452
900	4073	447
901	4076	442
902	4080	438
903	4083	433
904	4089	429
905	4092	424
906	4095	419
907	4098	415
908	4102	410
909	4105	406
910	4108	401
911	4111	396
912	4114	392
913	4117	387
914	4120	382
915	4124	378
916	4127	373
917	4130	368
918	4133	364
919	4136	359
920	4139	355
921	4142	350
922	4145	345
923	4148	341
924	4151	336
925	4154	332
926	4157	327
927	4159	322
928	4162	318
929	4165	313
930	4168	308
931	4171	304
932	4174	299
933	4177	295
934	4179	290
935	4183	286
936	4185	281
937	4188	276
938	4191	272
939	4194	267
940	4197	263
941	4199	258
942	4202	254
943	4205	249
944	4214	245
945	4218	240
946	4221	236
947	4231	232
948	4235	227
949	4238	223
950	4245	218
951	4248	214
952	4251	209
953	4261	205
954	4265	200
955	4268	196
956	4271	191
957	4277	187
958	4279	182
959	4282	178
960	4295	174
961	4307	170
962	4313	165
963	4323	161
964	4327	156
965	4330	152
966	4333	147
967	4335	143
968	4338	138
969	4341	134
970	4344	129
971	4352	125
972	4357	120
973	4365	116
974	4368	112
975	4374	107
976	4376	103
977	4382	98
978	4385	94
979	4388	89
980	4390	85
981	4393	80
982	4396	76
983	4400	71
984	4402	67
985	4405	62
986	4406	58
987	4408	53
988	4410	49
989	4411	44
990	4413	40
991	4414	35
992	4415	31
993	4416	26
994	4417	22
995	4418	17
996	4419	13
997	4420	8
998	4421	4
999	4426	0
